,duration,object,caption,prob
192,192,book_0.75;cup_0.61;vase_0.86;potted plant_0.98,a woman standing in front of a christmas tree .,0.000778
193,193,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
194,194,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
195,195,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
196,196,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
197,197,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
198,198,cup_0.85;dining table_0.91;sink_0.85;wine glass_0.98;microwave_0.66;bottle_0.96;book_0.65;chair_0.97;refrigerator_0.98;clock_0.88;vase_0.87,a group of people standing around a table .,0.003318
199,199,cup_0.48;potted plant_0.81;oven_0.99;book_0.71;bottle_0.63;chair_0.47;suitcase_0.43;cell phone_0.54;vase_0.91,a woman standing in front of a bathroom mirror .,0.000505
200,200,cup_0.48;potted plant_0.81;oven_0.99;book_0.71;bottle_0.63;chair_0.47;suitcase_0.43;cell phone_0.54;vase_0.91,a woman standing in front of a bathroom mirror .,0.000505
201,201,cup_0.48;potted plant_0.81;oven_0.99;book_0.71;bottle_0.63;chair_0.47;suitcase_0.43;cell phone_0.54;vase_0.91,a woman standing in front of a bathroom mirror .,0.000505
202,202,tv_0.95;cup_0.60,a woman standing in a room with a remote .,0.000665
203,203,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
204,204,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
205,205,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
206,206,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
207,207,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
208,208,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
209,209,toothbrush_0.78;cup_0.94;dining table_0.71;potted plant_0.36;oven_0.91;wine glass_0.35;bottle_0.96;book_0.40;chair_0.98;toaster_0.48;vase_0.64,a woman standing in front of a refrigerator .,0.000145
210,210,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
211,211,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
212,212,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
213,213,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
214,214,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
215,215,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
216,216,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
217,217,book_0.81;chair_0.35;vase_0.98;potted plant_0.95;bed_0.87,a woman standing in a room with a remote .,0.000947
218,218,laptop_0.80;bottle_0.48;vase_0.70;potted plant_0.80;bed_1.00,a man and a woman sitting on a bed .,0.00031
219,219,laptop_0.80;bottle_0.48;vase_0.70;potted plant_0.80;bed_1.00,a man and a woman sitting on a bed .,0.00031
220,220,,a woman standing in front of a mirror .,0.000428
221,221,bed_0.99,a man sitting on a bed with a dog .,0.001003
222,222,bed_0.99,a man sitting on a bed with a dog .,0.001003
223,223,bed_0.99,a man sitting on a bed with a dog .,0.001003
224,224,bed_0.99,a man sitting on a bed with a dog .,0.001003
225,225,bed_0.99,a man sitting on a bed with a dog .,0.001003
226,226,bed_0.99,a man sitting on a bed with a dog .,0.001003
227,227,bed_0.99,a man sitting on a bed with a dog .,0.001003
228,228,bed_0.99,a man sitting on a bed with a dog .,0.001003
229,229,bed_0.99,a man sitting on a bed with a dog .,0.001003
230,230,tie_0.82;potted plant_0.39,a woman standing in front of a mirror wearing a tie .,0.000233
231,231,tie_0.82;potted plant_0.39,a woman standing in front of a mirror wearing a tie .,0.000233
232,232,tie_0.82;potted plant_0.39,a woman standing in front of a mirror wearing a tie .,0.000233
233,233,tie_0.82;potted plant_0.39,a woman standing in front of a mirror wearing a tie .,0.000233
234,234,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
235,235,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
236,236,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
237,237,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
238,238,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
239,239,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
240,240,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
241,241,potted plant_0.79;couch_0.85;book_0.66;bed_0.97;clock_0.76;vase_0.95,a man and a woman sitting on a bed .,0.000966
242,242,clock_0.83;potted plant_0.90;umbrella_0.41,a couple of women standing next to each other .,0.003921
243,243,,a man and woman playing a video game .,0.000232
244,244,bottle_0.72;cell phone_0.94;vase_0.76;potted plant_0.88;bed_0.99,a woman sitting on a bed with a book .,6.70E-05
245,245,bottle_0.72;cell phone_0.94;vase_0.76;potted plant_0.88;bed_0.99,a woman sitting on a bed with a book .,6.70E-05
246,246,clock_0.89,a view of a city street at night .,9.20E-05
247,247,clock_0.68;motorcycle_0.39,a large group of people standing in front of a building .,1.00E-06
248,248,,a view of a city with a clock tower in the center .,3.00E-06
249,249,tie_0.92,a view of a city skyline with a clock tower .,1.90E-05
250,250,tie_0.92,a view of a city skyline with a clock tower .,1.90E-05
251,251,cup_0.66;potted plant_0.67;dining table_0.64;couch_0.85;tv_1.00;bottle_0.37;book_0.45;chair_0.97;tie_0.72,a man standing in a living room next to a christmas tree .,0.000143
252,252,cup_0.66;potted plant_0.67;dining table_0.64;couch_0.85;tv_1.00;bottle_0.37;book_0.45;chair_0.97;tie_0.72,a man standing in a living room next to a christmas tree .,0.000143
253,253,cup_0.66;potted plant_0.67;dining table_0.64;couch_0.85;tv_1.00;bottle_0.37;book_0.45;chair_0.97;tie_0.72,a man standing in a living room next to a christmas tree .,0.000143
254,254,cup_0.66;potted plant_0.67;dining table_0.64;couch_0.85;tv_1.00;bottle_0.37;book_0.45;chair_0.97;tie_0.72,a man standing in a living room next to a christmas tree .,0.000143
255,255,cup_0.66;potted plant_0.67;dining table_0.64;couch_0.85;tv_1.00;bottle_0.37;book_0.45;chair_0.97;tie_0.72,a man standing in a living room next to a christmas tree .,0.000143
256,256,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
257,257,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
258,258,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
259,259,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
260,260,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
261,261,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
262,262,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
263,263,cup_0.55;couch_0.80;book_0.37;tie_1.00;chair_0.93;dog_0.54;vase_0.80,a man and a woman standing next to each other .,0.001594
264,264,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
265,265,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
266,266,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
267,267,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
268,268,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
269,269,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
270,270,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
271,271,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
272,272,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
273,273,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
274,274,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
275,275,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
276,276,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
277,277,cup_0.84;potted plant_0.95;handbag_0.48;oven_0.81;umbrella_0.41;wine glass_0.48;book_0.82;bottle_0.81;tie_0.99;chair_0.38;toilet_0.54;vase_0.94,a man in a suit and tie standing in a kitchen .,0.000386
278,278,couch_0.57;chair_0.96;vase_0.85;dining table_0.37,a woman sitting on a couch with a remote .,0.000129
279,279,cup_0.84;dining table_0.75;potted plant_0.92;couch_0.95;bench_0.62;tv_1.00;book_0.45;bottle_0.71;chair_0.95;bowl_0.63;handbag_0.77;vase_0.99,a living room filled with furniture and a fire place .,0.003711
280,280,cup_0.84;dining table_0.75;potted plant_0.92;couch_0.95;bench_0.62;tv_1.00;book_0.45;bottle_0.71;chair_0.95;bowl_0.63;handbag_0.77;vase_0.99,a living room filled with furniture and a fire place .,0.003711
281,281,cup_0.84;dining table_0.75;potted plant_0.92;couch_0.95;bench_0.62;tv_1.00;book_0.45;bottle_0.71;chair_0.95;bowl_0.63;handbag_0.77;vase_0.99,a living room filled with furniture and a fire place .,0.003711
282,282,cup_0.84;dining table_0.75;potted plant_0.92;couch_0.95;bench_0.62;tv_1.00;book_0.45;bottle_0.71;chair_0.95;bowl_0.63;handbag_0.77;vase_0.99,a living room filled with furniture and a fire place .,0.003711
283,283,cup_0.84;dining table_0.75;potted plant_0.92;couch_0.95;bench_0.62;tv_1.00;book_0.45;bottle_0.71;chair_0.95;bowl_0.63;handbag_0.77;vase_0.99,a living room filled with furniture and a fire place .,0.003711
284,284,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
285,285,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
286,286,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
287,287,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
288,288,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
289,289,cup_0.44;knife_0.50;potted plant_0.74;fork_0.40;tv_1.00;bottle_0.36;skateboard_0.77;scissors_0.35,a woman holding a nintendo wii game controller .,0.00301
290,290,refrigerator_0.83,a woman in a red shirt is holding a cellphone,4.00E-06
291,291,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
292,292,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
293,293,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
294,294,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
295,295,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
296,296,cup_0.44;potted plant_0.89;knife_0.81;fork_0.38;spoon_0.44;tv_1.00;bottle_0.37;skateboard_0.72,a woman holding a nintendo wii game controller .,0.004435
297,297,cup_0.97;dining table_0.42;potted plant_0.65;couch_0.97;sink_0.44;chair_1.00;vase_0.37,a group of people standing around a living room .,0.000639
298,298,cup_0.97;dining table_0.42;potted plant_0.65;couch_0.97;sink_0.44;chair_1.00;vase_0.37,a group of people standing around a living room .,0.000639
299,299,cup_0.97;dining table_0.42;potted plant_0.65;couch_0.97;sink_0.44;chair_1.00;vase_0.37,a group of people standing around a living room .,0.000639
300,300,cup_0.53;potted plant_0.91;knife_0.38;tv_1.00;bottle_0.35;chair_0.74;skateboard_0.77;vase_0.87,a woman holding a nintendo wii game controller .,0.007925
301,301,cup_0.53;potted plant_0.91;knife_0.38;tv_1.00;bottle_0.35;chair_0.74;skateboard_0.77;vase_0.87,a woman holding a nintendo wii game controller .,0.007925
302,302,cup_0.53;potted plant_0.91;knife_0.38;tv_1.00;bottle_0.35;chair_0.74;skateboard_0.77;vase_0.87,a woman holding a nintendo wii game controller .,0.007925
303,303,cup_0.53;potted plant_0.91;knife_0.38;tv_1.00;bottle_0.35;chair_0.74;skateboard_0.77;vase_0.87,a woman holding a nintendo wii game controller .,0.007925
304,304,refrigerator_0.97;cup_0.77,a woman standing in front of a refrigerator .,0.00125
305,305,refrigerator_0.97;cup_0.77,a woman standing in front of a refrigerator .,0.00125
306,306,refrigerator_0.97;cup_0.77,a woman standing in front of a refrigerator .,0.00125
307,307,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
308,308,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
309,309,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
310,310,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
311,311,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
312,312,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
313,313,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
314,314,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
315,315,cup_0.44;sink_0.88;potted plant_0.45;couch_0.95;remote_0.52;oven_0.99;kite_0.41;skateboard_0.38;microwave_1.00;bottle_0.85;tie_0.97;book_0.71;refrigerator_1.00;chair_0.97;bird_0.55;traffic light_0.39;bowl_0.48;vase_0.57;cell phone_0.69,a man standing in a kitchen preparing food .,0.011901
316,316,,a woman and a man standing next to each other .,0.000426
317,317,,a woman and a man standing next to each other .,0.000426
318,318,bottle_0.88;tie_1.00;toilet_0.87;refrigerator_1.00,a man in a suit and tie standing in a room .,0.000237
319,319,bottle_0.88;tie_1.00;toilet_0.87;refrigerator_1.00,a man in a suit and tie standing in a room .,0.000237
320,320,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
321,321,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
322,322,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
323,323,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
324,324,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
325,325,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
326,326,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
327,327,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
328,328,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
329,329,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
330,330,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
331,331,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
332,332,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
333,333,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
334,334,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
335,335,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
336,336,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
337,337,cup_0.50;couch_0.51;microwave_0.97;tv_0.47;bottle_0.43;tie_1.00;chair_0.92;traffic light_0.49,a couple of women standing next to each other .,0.004245
338,338,,a woman standing in front of a mirror in a bathroom .,0.000596
339,339,,a woman standing in front of a mirror in a bathroom .,0.000596
340,340,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
341,341,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
342,342,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
343,343,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
344,344,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
345,345,tie_0.97;chair_0.38,a woman standing in a room with a remote .,0.000273
346,346,sports ball_0.40,a woman standing in front of a mirror .,0.000639
347,347,sports ball_0.40,a woman standing in front of a mirror .,0.000639
348,348,sports ball_0.40,a woman standing in front of a mirror .,0.000639
349,349,tie_1.00,a man in a suit and tie standing in a room .,0.00091
350,350,tie_1.00,a man in a suit and tie standing in a room .,0.00091
351,351,tie_1.00,a man in a suit and tie standing in a room .,0.00091
352,352,tie_1.00,a man in a suit and tie standing in a room .,0.00091
353,353,tv_0.60,a woman in a red dress is holding a cell phone .,8.00E-06
354,354,tv_0.60,a woman in a red dress is holding a cell phone .,8.00E-06
355,355,tv_0.60,a woman in a red dress is holding a cell phone .,8.00E-06
356,356,tie_1.00,a man in a suit and tie standing in a room .,0.000884
357,357,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
358,358,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
359,359,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
360,360,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
361,361,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
362,362,tv_0.52;handbag_0.86,a woman standing in front of a mirror .,0.000423
363,363,tie_1.00,a man in a suit and tie standing in a room .,0.000759
364,364,tie_1.00,a man in a suit and tie standing in a room .,0.000759
365,365,tie_1.00,a man in a suit and tie standing in a room .,0.000759
366,366,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
367,367,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
368,368,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
369,369,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
370,370,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
371,371,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
372,372,book_0.37;tie_0.99;cell phone_0.88,a man and a woman standing in a room .,0.000308
373,373,tv_0.62,a woman is standing in front of a mirror .,0.000203
374,374,tv_0.62,a woman is standing in front of a mirror .,0.000203
375,375,tv_0.62,a woman is standing in front of a mirror .,0.000203
376,376,tie_1.00,a man in a suit and tie standing in a room .,0.001056
377,377,tie_1.00,a man in a suit and tie standing in a room .,0.001056
378,378,tie_1.00,a man in a suit and tie standing in a room .,0.001056
379,379,tie_1.00,a man in a suit and tie standing in a room .,0.001056
380,380,tie_1.00,a man in a suit and tie standing in a room .,0.001056
381,381,tv_0.55,a woman in a white dress and a red tie .,7.00E-06
382,382,tie_0.99,a man in a suit and tie standing in a room .,0.001243
383,383,tie_0.99,a man in a suit and tie standing in a room .,0.001243
384,384,tv_0.70,a woman is standing in a room with a cell phone .,1.50E-05
385,385,tv_0.70,a woman is standing in a room with a cell phone .,1.50E-05
386,386,tv_0.70,a woman is standing in a room with a cell phone .,1.50E-05
387,387,tv_0.70,a woman is standing in a room with a cell phone .,1.50E-05
388,388,tv_0.70,a woman is standing in a room with a cell phone .,1.50E-05
389,389,tie_1.00,a man in a suit and tie standing in a room .,0.000898
390,390,tie_1.00,a man in a suit and tie standing in a room .,0.000898
391,391,tv_0.60,a woman in a white dress holding a cell phone .,5.10E-05
